Rk,Year,Tm,Lg,G,W,L,Ties,W.L.,pythW.L.,Finish,GB,Playoffs,R,RA,Attendance,BatAge,PAge,X.Bat,X.P,Top.Player,Managers,current
1,2016,Arizona Diamondbacks,NL West,162,69,93,0,0.426,0.424,4th of 5,22.0,,752,890,2036216,26.7,26.4,50,29,J.Segura (5.7),C.Hale (69-93),Arizona Diamondbacks
2,2015,Arizona Diamondbacks,NL West,162,79,83,0,0.488,0.504,3rd of 5,13.0,,720,713,2080145,26.6,27.1,50,27,P.Goldschmidt (8.8),C.Hale (79-83),Arizona Diamondbacks
3,2014,Arizona Diamondbacks,NL West,162,64,98,0,0.395,0.415,5th of 5,30.0,,615,742,2073730,27.6,28.0,52,25,P.Goldschmidt (4.5),K.Gibson (63-96) and A.Trammell (1-2),Arizona Diamondbacks
4,2013,Arizona Diamondbacks,NL West,162,81,81,0,0.5,0.493,2nd of 5,11.0,,685,695,2134895,28.1,27.6,44,23,P.Goldschmidt (7.1),K.Gibson (81-81),Arizona Diamondbacks
5,2012,Arizona Diamondbacks,NL West,162,81,81,0,0.5,0.53,3rd of 5,13.0,,734,688,2177617,28.3,27.4,48,23,A.Hill (5.0),K.Gibson (81-81),Arizona Diamondbacks
6,2011,Arizona Diamondbacks,NL West,162,94,68,0,0.58,0.545,1st of 5,,Lost LDS (3-2),731,662,2105432,28.2,27.4,51,25,J.Upton (6.1),K.Gibson (94-68),Arizona Diamondbacks
7,2010,Arizona Diamondbacks,NL West,162,65,97,0,0.401,0.428,5th of 5,27.0,,713,836,2056697,26.8,27.9,48,28,C.Young (5.4),A.Hinch (31-48) and K.Gibson (34-49),Arizona Diamondbacks
8,2009,Arizona Diamondbacks,NL West,162,70,92,0,0.432,0.462,5th of 5,25.0,,720,782,2128765,26.5,27.7,45,24,D.Haren (7.1),B.Melvin (12-17) and A.Hinch (58-75),Arizona Diamondbacks
9,2008,Arizona Diamondbacks,NL West,162,82,80,0,0.506,0.509,2nd of 5,2.0,,720,706,2509924,26.7,29.4,41,20,D.Haren (6.6),B.Melvin (82-80),Arizona Diamondbacks
10,2007,Arizona Diamondbacks,NL West,162,90,72,0,0.556,0.487,1st of 5,,Lost NLCS (4-0),712,732,2325249,26.6,28.2,47,26,B.Webb (5.9),B.Melvin (90-72),Arizona Diamondbacks
11,2006,Arizona Diamondbacks,NL West,162,76,86,0,0.469,0.491,4th of 5,12.0,,773,788,2091685,29.6,28.8,45,25,B.Webb (7.0),B.Melvin (76-86),Arizona Diamondbacks
12,2005,Arizona Diamondbacks,NL West,162,77,85,0,0.475,0.406,2nd of 5,5.0,,696,856,2059424,30.3,27.4,43,25,C.Counsell (5.5),B.Melvin (77-85),Arizona Diamondbacks
13,2004,Arizona Diamondbacks,NL West,162,51,111,0,0.315,0.333,5th of 5,42.0,,615,899,2519560,28.9,29.3,52,25,R.Johnson (8.3),B.Brenly (29-50) and A.Pedrique (22-61),Arizona Diamondbacks
14,2003,Arizona Diamondbacks,NL West,162,84,78,0,0.519,0.521,3rd of 5,16.5,,717,685,2805542,30.6,29.2,43,22,B.Webb (5.9),B.Brenly (84-78),Arizona Diamondbacks
15,2002,Arizona Diamondbacks,NL West,162,98,64,0,0.605,0.588,1st of 5,,Lost LDS (3-0),819,674,3198977,31.7,31.7,42,20,R.Johnson (10.7),B.Brenly (98-64),Arizona Diamondbacks
16,2001,Arizona Diamondbacks,NL West,162,92,70,0,0.568,0.586,1st of 5,,Won WS (4-3),818,677,2736451,31.9,30.9,47,22,R.Johnson (9.4),B.Brenly (92-70),Arizona Diamondbacks
17,2000,Arizona Diamondbacks,NL West,162,85,77,0,0.525,0.522,3rd of 5,12.0,,792,754,2942251,30.8,31.6,41,17,R.Johnson (8.1),B.Showalter (85-77),Arizona Diamondbacks
18,1999,Arizona Diamondbacks,NL West,162,100,62,0,0.617,0.632,1st of 5,,Lost LDS (3-1),908,676,3019654,30.0,30.6,43,20,R.Johnson (8.8),B.Showalter (100-62),Arizona Diamondbacks
19,1998,Arizona Diamondbacks,NL West,162,65,97,0,0.401,0.41,5th of 5,33.0,,665,812,3610290,27.8,27.4,46,25,O.Daal (4.1),B.Showalter (65-97),Arizona Diamondbacks
1,2016,Atlanta Braves,NL East,161,68,93,0,0.422,0.417,5th of 5,26.5,,649,779,2020914,28.9,26.4,60,35,F.Freeman (6.5),F.Gonzalez (9-28) and B.Snitker (59-65),Atlanta Braves
2,2015,Atlanta Braves,NL East,162,67,95,0,0.414,0.374,4th of 5,23.0,,573,760,2001392,28.8,26.6,60,37,A.Simmons (4.0),F.Gonzalez (67-95),Atlanta Braves
3,2014,Atlanta Braves,NL East,162,79,83,0,0.488,0.481,2nd of 5,17.0,,573,597,2354305,26.8,27.3,39,20,J.Heyward (6.2),F.Gonzalez (79-83),Atlanta Braves
4,2013,Atlanta Braves,NL East,162,96,66,0,0.593,0.603,1st of 5,,Lost LDS (3-1),688,548,2548679,26.8,27.2,44,21,A.Simmons (7.0),F.Gonzalez (96-66),Atlanta Braves
5,2012,Atlanta Braves,NL East,162,94,68,0,0.58,0.57,2nd of 5,4.0,Lost NLWC (1-0),700,600,2420171,28.5,27.6,41,21,M.Bourn (6.1),F.Gonzalez (94-68),Atlanta Braves
6,2011,Atlanta Braves,NL East,162,89,73,0,0.549,0.526,2nd of 5,13.0,,641,605,2372940,28.9,28.4,45,21,E.O'Flaherty (3.4),F.Gonzalez (89-73),Atlanta Braves
7,2010,Atlanta Braves,NL East,162,91,71,0,0.562,0.573,2nd of 5,6.0,Lost LDS (3-1),738,629,2510119,28.6,30.1,43,21,J.Heyward (6.4),B.Cox (91-71),Atlanta Braves
8,2009,Atlanta Braves,NL East,162,86,76,0,0.531,0.562,3rd of 5,7.0,,735,641,2373631,28.8,28.9,45,21,J.Jurrjens (6.8),B.Cox (86-76),Atlanta Braves
9,2008,Atlanta Braves,NL East,162,72,90,0,0.444,0.485,4th of 5,20.0,,753,778,2532834,27.2,28.6,49,28,C.Jones (7.3),B.Cox (72-90),Atlanta Braves
10,2007,Atlanta Braves,NL East,162,84,78,0,0.519,0.546,3rd of 5,5.0,,810,733,2745207,27.7,29.4,50,28,C.Jones (7.6),B.Cox (84-78),Atlanta Braves
11,2006,Atlanta Braves,NL East,162,79,83,0,0.488,0.524,3rd of 5,18.0,,849,805,2550524,27.5,29.4,45,26,J.Smoltz (5.9),B.Cox (79-83),Atlanta Braves
12,2005,Atlanta Braves,NL East,162,90,72,0,0.556,0.56,1st of 5,,Lost LDS (3-1),769,674,2521167,28.1,28.6,45,26,A.Jones (6.7),B.Cox (90-72),Atlanta Braves
13,2004,Atlanta Braves,NL East,162,96,66,0,0.593,0.583,1st of 5,,Lost LDS (3-2),803,668,2327565,28.9,30.1,39,21,J.Drew (8.3),B.Cox (96-66),Atlanta Braves
14,2003,Atlanta Braves,NL East,162,101,61,0,0.623,0.592,1st of 5,,Lost LDS (3-2),907,740,2401084,30.3,31.1,34,17,M.Giles (7.8),B.Cox (101-61),Atlanta Braves
15,2002,Atlanta Braves,NL East,161,101,59,1,0.631,0.602,1st of 5,,Lost LDS (3-2),708,565,2603484,30.6,31.1,38,20,A.Jones (6.6),B.Cox (101-59),Atlanta Braves
16,2001,Atlanta Braves,NL East,162,88,74,0,0.543,0.557,1st of 5,,Lost NLCS (4-1),729,643,2823530,30.3,31.1,47,23,C.Jones (5.9),B.Cox (88-74),Atlanta Braves
17,2000,Atlanta Braves,NL East,162,95,67,0,0.586,0.557,1st of 5,,Lost LDS (3-0),810,714,3234304,30.7,31.4,47,22,A.Jones (8.2),B.Cox (95-67),Atlanta Braves
18,1999,Atlanta Braves,NL East,162,103,59,0,0.636,0.608,1st of 5,,Lost WS (4-0),840,661,3284897,29.6,28.6,44,22,A.Jones (7.1),B.Cox (103-59),Atlanta Braves
19,1998,Atlanta Braves,NL East,162,106,56,0,0.654,0.656,1st of 5,,Lost NLCS (4-2),826,581,3360860,28.9,29.5,42,19,A.Jones (7.4),B.Cox (106-56),Atlanta Braves
20,1997,Atlanta Braves,NL East,162,101,61,0,0.623,0.638,1st of 5,,Lost NLCS (4-2),791,581,3464488,27.9,28.5,38,17,G.Maddux (7.7),B.Cox (101-61),Atlanta Braves
21,1996,Atlanta Braves,NL East,162,96,66,0,0.593,0.58,1st of 5,,Lost WS (4-2),773,648,2901242,27.9,27.9,42,18,J.Smoltz (7.7),B.Cox (96-66),Atlanta Braves
22,1995,Atlanta Braves,NL East,144,90,54,0,0.625,0.581,1st of 5,,Won WS (4-2),645,540,2561831,27.9,27.4,40,20,G.Maddux (9.6),B.Cox (90-54),Atlanta Braves
23,1994,Atlanta Braves,NL East,114,68,46,0,0.596,0.586,2nd of 5,6.0,,542,448,2539240,28.2,27.4,31,13,G.Maddux (8.7),B.Cox (68-46),Atlanta Braves
24,1993,Atlanta Braves,NL West,162,104,58,0,0.642,0.641,1st of 7,,Lost NLCS (4-2),767,559,3884720,28.8,26.8,33,13,R.Gant (6.5),B.Cox (104-58),Atlanta Braves
25,1992,Atlanta Braves,NL West,162,98,64,0,0.605,0.582,1st of 6,,Lost WS (4-2),682,569,3077400,28.4,27.5,41,19,T.Pendleton (4.9),B.Cox (98-64),Atlanta Braves
26,1991,Atlanta Braves,NL West,162,94,68,0,0.58,0.569,1st of 6,,Lost WS (4-3),749,644,2140217,28.0,27.1,43,20,T.Glavine (9.3),B.Cox (94-68),Atlanta Braves
27,1990,Atlanta Braves,NL West,162,65,97,0,0.401,0.416,6th of 6,26.0,,682,821,980129,27.4,25.8,46,23,R.Gant (5.5),R.Nixon (25-40) and B.Cox (40-57),Atlanta Braves
28,1989,Atlanta Braves,NL West,161,63,97,1,0.394,0.431,6th of 6,28.0,,584,680,984930,28.1,25.4,46,23,L.Smith (8.8),R.Nixon (63-97),Atlanta Braves
29,1988,Atlanta Braves,NL West,160,54,106,0,0.338,0.371,6th of 6,39.5,,555,741,848089,28.9,27.4,40,19,P.Smith (3.2),C.Tanner (12-27) and R.Nixon (42-79),Atlanta Braves
30,1987,Atlanta Braves,NL West,161,69,92,0,0.429,0.452,5th of 6,20.5,,747,829,1217402,29.6,29.2,41,20,D.Murphy (7.7),C.Tanner (69-92),Atlanta Braves
31,1986,Atlanta Braves,NL West,161,72,89,0,0.447,0.429,6th of 6,23.5,,615,719,1387181,29.7,28.9,36,16,D.Palmer (3.7),C.Tanner (72-89),Atlanta Braves
32,1985,Atlanta Braves,NL West,162,66,96,0,0.407,0.404,5th of 6,29.0,,632,781,1350137,28.1,28.8,33,14,D.Murphy (5.0),E.Haas (50-71) and B.Wine (16-25),Atlanta Braves
33,1984,Atlanta Braves,NL West,162,80,82,0,0.494,0.484,2nd of 6,12.0,,632,655,1724892,27.8,28.4,38,15,D.Murphy (5.5),J.Torre (80-82),Atlanta Braves
34,1983,Atlanta Braves,NL West,162,88,74,0,0.543,0.57,2nd of 6,3.0,,746,640,2119935,27.7,29.2,40,17,D.Murphy (7.1),J.Torre (88-74),Atlanta Braves
35,1982,Atlanta Braves,NL West,162,89,73,0,0.549,0.523,1st of 6,,Lost NLCS (3-0),739,702,1801985,26.9,29.4,39,17,D.Murphy (6.1),J.Torre (89-73),Atlanta Braves
36,1981,Atlanta Braves,NL West,107,50,56,1,0.472,0.476,5th of 6,15.0,,395,416,535418,26.5,31.5,40,16,R.Camp (2.7),B.Cox (50-56),Atlanta Braves
37,1980,Atlanta Braves,NL West,161,81,80,0,0.503,0.479,4th of 6,11.0,,630,660,1048411,26.8,29.6,32,11,D.Murphy (6.5),B.Cox (81-80),Atlanta Braves
38,1979,Atlanta Braves,NL West,160,66,94,0,0.413,0.44,6th of 6,23.5,,669,763,769465,26.4,28.9,38,17,P.Niekro (8.0),B.Cox (66-94),Atlanta Braves
39,1978,Atlanta Braves,NL West,162,69,93,0,0.426,0.399,6th of 6,26.0,,600,750,904494,25.6,28.2,42,18,P.Niekro (10.4),B.Cox (69-93),Atlanta Braves
40,1977,Atlanta Braves,NL West,162,61,101,0,0.377,0.376,6th of 6,37.0,,678,895,872464,25.8,28.4,42,22,P.Niekro (8.4),"D.Bristol (60-100), T.Turner (0-1) and V.Benson (1-0)",Atlanta Braves
41,1976,Atlanta Braves,NL West,162,70,92,0,0.432,0.445,6th of 6,32.0,,620,700,818179,27.8,29.1,43,18,P.Niekro (6.8),D.Bristol (70-92),Atlanta Braves
42,1975,Atlanta Braves,NL West,161,67,94,0,0.416,0.393,5th of 6,40.5,,583,739,534672,27.2,29.5,40,19,P.Niekro (6.6),C.King (58-76) and C.Ryan (9-18),Atlanta Braves
43,1974,Atlanta Braves,NL West,163,88,74,1,0.543,0.573,3rd of 6,14.0,,661,563,981085,28.1,29.5,36,15,P.Niekro (8.0),E.Mathews (50-49) and C.King (38-25),Atlanta Braves
44,1973,Atlanta Braves,NL West,162,76,85,1,0.472,0.515,5th of 6,22.5,,799,774,800655,28.0,28.2,43,21,D.Evans (9.0),E.Mathews (76-85),Atlanta Braves
45,1972,Atlanta Braves,NL West,155,70,84,1,0.455,0.432,4th of 6,25.0,,628,730,752973,27.2,28.2,36,17,P.Niekro (5.7),L.Harris (47-57) and E.Mathews (23-27),Atlanta Braves
46,1971,Atlanta Braves,NL West,162,82,80,0,0.506,0.462,3rd of 6,8.0,,643,699,1006320,27.2,28.5,35,14,H.Aaron (7.2),L.Harris (82-80),Atlanta Braves
47,1970,Atlanta Braves,NL West,162,76,86,0,0.469,0.478,5th of 6,26.0,,736,772,1078848,29.5,28.7,37,17,R.Carty (5.8),L.Harris (76-86),Atlanta Braves
48,1969,Atlanta Braves,NL West,162,93,69,0,0.574,0.541,1st of 6,,Lost NLCS (3-0),691,631,1458320,29.1,27.5,39,18,H.Aaron (8.0),L.Harris (93-69),Atlanta Braves
49,1968,Atlanta Braves,NL,163,81,81,1,0.5,0.47,5th of 10,16.0,,514,549,1126540,28.7,27.5,38,17,H.Aaron (6.8),L.Harris (81-81),Atlanta Braves
50,1967,Atlanta Braves,NL,162,77,85,0,0.475,0.494,7th of 10,24.5,,631,640,1389222,28.6,28.1,41,18,H.Aaron (8.5),B.Hitchcock (77-82) and K.Silvestri (0-3),Atlanta Braves
51,1966,Atlanta Braves,NL,163,85,77,1,0.525,0.562,5th of 10,10.0,,782,683,1539801,28.2,27.9,44,21,H.Aaron (7.8),B.Bragan (52-59) and B.Hitchcock (33-18),Atlanta Braves
52,1965,Milwaukee Braves,NL,162,86,76,0,0.531,0.551,5th of 10,11.0,,708,633,555584,28.0,26.5,37,14,H.Aaron (7.8),B.Bragan (86-76),Atlanta Braves
53,1964,Milwaukee Braves,NL,162,88,74,0,0.543,0.535,5th of 10,5.0,,803,744,910911,27.5,27.9,42,19,H.Aaron (6.8),B.Bragan (88-74),Atlanta Braves
54,1963,Milwaukee Braves,NL,163,84,78,1,0.519,0.553,6th of 10,15.0,,677,603,773018,27.6,28.1,37,14,H.Aaron (9.1),B.Bragan (84-78),Atlanta Braves
55,1962,Milwaukee Braves,NL,162,86,76,0,0.531,0.543,5th of 10,15.5,,730,665,766921,28.1,28.9,37,16,H.Aaron (8.5),B.Tebbetts (86-76),Atlanta Braves
56,1961,Milwaukee Braves,NL,155,83,71,1,0.539,0.537,4th of 8,10.0,,712,656,1101441,28.8,30.8,40,16,H.Aaron (9.4),C.Dressen (71-58) and B.Tebbetts (12-13),Atlanta Braves
57,1960,Milwaukee Braves,NL,154,88,66,0,0.571,0.544,2nd of 8,7.0,,724,658,1497799,30.0,30.4,36,14,H.Aaron (8.0),C.Dressen (88-66),Atlanta Braves
58,1959,Milwaukee Braves,NL,157,86,70,1,0.551,0.568,2nd of 8,2.0,,724,623,1749112,29.5,30.2,37,11,H.Aaron (8.6),F.Haney (86-70),Atlanta Braves
59,1958,Milwaukee Braves,NL,154,92,62,0,0.597,0.6,1st of 8,,Lost WS (4-3),675,541,1971101,28.7,29.9,35,13,H.Aaron (7.3),F.Haney (92-62),Atlanta Braves
60,1957,Milwaukee Braves,NL,155,95,59,1,0.617,0.604,1st of 8,,Won WS (4-3),772,613,2215404,28.0,29.0,39,14,H.Aaron (8.0),F.Haney (95-59),Atlanta Braves
61,1956,Milwaukee Braves,NL,155,92,62,1,0.597,0.599,2nd of 8,1.0,,709,569,2046331,27.5,28.6,33,14,H.Aaron (7.1),C.Grimm (24-22) and F.Haney (68-40),Atlanta Braves
62,1955,Milwaukee Braves,NL,154,85,69,0,0.552,0.549,2nd of 8,13.5,,743,668,2005836,27.2,27.2,32,15,E.Mathews (7.3),C.Grimm (85-69),Atlanta Braves
63,1954,Milwaukee Braves,NL,154,89,65,0,0.578,0.585,3rd of 8,8.0,,670,556,2131388,26.5,27.4,31,13,E.Mathews (7.8),C.Grimm (89-65),Atlanta Braves
64,1953,Milwaukee Braves,NL,157,92,62,3,0.597,0.602,2nd of 8,13.0,,738,589,1826397,27.5,28.1,31,13,W.Spahn (9.1),C.Grimm (92-62),Atlanta Braves
65,1952,Boston Braves,NL,155,64,89,2,0.418,0.439,7th of 8,32.0,,569,651,281278,28.7,28.8,34,14,W.Spahn (7.1),T.Holmes (13-22) and C.Grimm (51-67),Atlanta Braves
66,1951,Boston Braves,NL,155,76,78,1,0.494,0.54,4th of 8,20.5,,723,662,487475,30.0,28.0,33,15,W.Spahn (8.0),B.Southworth (28-31) and T.Holmes (48-47),Atlanta Braves
67,1950,Boston Braves,NL,156,83,71,2,0.539,0.529,4th of 8,8.0,,785,736,944391,29.3,28.6,35,16,S.Gordon (6.3),B.Southworth (83-71),Atlanta Braves
68,1949,Boston Braves,NL,157,75,79,3,0.487,0.492,4th of 8,22.0,,706,719,1081795,29.9,28.9,34,12,W.Spahn (5.6),B.Southworth (55-54) and J.Cooney (20-25),Atlanta Braves
69,1948,Boston Braves,NL,154,91,62,1,0.595,0.606,1st of 8,,Lost WS (4-2),739,584,1455439,29.6,29.6,35,16,J.Sain (8.5),B.Southworth (91-62),Atlanta Braves
70,1947,Boston Braves,NL,154,86,68,0,0.558,0.552,3rd of 8,8.0,,701,626,1277361,29.5,30.4,34,17,W.Spahn (9.3),B.Southworth (86-68),Atlanta Braves
71,1946,Boston Braves,NL,154,81,72,1,0.529,0.528,4th of 8,15.5,,630,592,969673,29.5,30.9,48,21,J.Sain (7.8),B.Southworth (81-72),Atlanta Braves
72,1945,Boston Braves,NL,154,67,85,2,0.441,0.496,6th of 8,30.0,,721,728,374178,28.8,30.8,42,22,T.Holmes (8.0),B.Coleman (42-51) and D.Bissonette (25-34),Atlanta Braves
73,1944,Boston Braves,NL,155,65,89,1,0.422,0.442,6th of 8,40.0,,593,674,208691,27.7,29.0,37,14,J.Tobin (6.3),B.Coleman (65-89),Atlanta Braves
74,1943,Boston Braves,NL,153,68,85,0,0.444,0.377,6th of 8,36.5,,465,612,271289,26.9,28.2,37,18,N.Andrews (5.0),B.Coleman (21-25) and C.Stengel (47-60),Atlanta Braves
75,1942,Boston Braves,NL,150,59,89,2,0.399,0.398,7th of 8,44.0,,515,645,285332,27.1,26.6,34,15,E.Lombardi (3.9),C.Stengel (59-89),Atlanta Braves
76,1941,Boston Braves,NL,156,62,92,2,0.403,0.411,7th of 8,38.0,,592,720,263680,27.7,26.2,39,15,J.Tobin (4.3),C.Stengel (62-92),Atlanta Braves
77,1940,Boston Bees,NL,152,65,87,0,0.428,0.419,7th of 8,34.5,,623,745,241616,26.3,28.1,41,17,E.Miller (4.8),C.Stengel (65-87),Atlanta Braves
78,1939,Boston Bees,NL,152,63,88,1,0.417,0.436,7th of 8,32.5,,572,659,285994,28.4,31.1,39,15,M.West (4.6),C.Stengel (63-88),Atlanta Braves
79,1938,Boston Bees,NL,153,77,75,1,0.507,0.456,5th of 8,12.0,,561,618,341149,28.6,30.4,39,17,L.Fette (3.5),C.Stengel (77-75),Atlanta Braves
80,1937,Boston Bees,NL,152,79,73,0,0.52,0.519,5th of 8,16.0,,579,556,385339,28.2,30.8,30,12,J.Turner (6.1),B.McKechnie (79-73),Atlanta Braves
81,1936,Boston Bees,NL,157,71,83,3,0.461,0.443,6th of 8,21.0,,631,715,340585,28.9,30.8,37,20,T.Cuccinello (5.7),B.McKechnie (71-83),Atlanta Braves
82,1935,Boston Braves,NL,153,38,115,0,0.248,0.327,8th of 8,61.5,,575,852,232754,29.3,33.2,31,11,W.Berger (5.7),B.McKechnie (38-115),Atlanta Braves
83,1934,Boston Braves,NL,152,78,73,1,0.517,0.48,4th of 8,16.0,,683,714,303205,29.2,32.3,29,12,W.Berger (5.1),B.McKechnie (78-73),Atlanta Braves
84,1933,Boston Braves,NL,156,83,71,2,0.539,0.518,4th of 8,9.0,,552,531,517803,29.3,32.0,31,11,W.Berger (6.8),B.McKechnie (83-71),Atlanta Braves
85,1932,Boston Braves,NL,155,77,77,1,0.5,0.496,5th of 8,13.0,,649,655,507606,29.7,30.2,30,11,H.Betts (4.8),B.McKechnie (77-77),Atlanta Braves
86,1931,Boston Braves,NL,156,64,90,2,0.416,0.39,7th of 8,37.0,,533,680,515005,30.3,30.2,32,11,E.Brandt (6.1),B.McKechnie (64-90),Atlanta Braves
87,1930,Boston Braves,NL,154,70,84,0,0.455,0.416,6th of 8,22.0,,693,835,464835,29.6,30.9,32,12,B.Smith (4.6),B.McKechnie (70-84),Atlanta Braves
88,1929,Boston Braves,NL,154,56,98,0,0.364,0.371,8th of 8,43.0,,657,876,372351,30.6,29.7,43,15,S.Seibold (3.1),J.Fuchs (56-98),Atlanta Braves
89,1928,Boston Braves,NL,153,50,103,0,0.327,0.353,7th of 8,44.5,,631,878,227001,29.8,28.3,42,21,R.Hornsby (8.8),J.Slattery (11-20) and R.Hornsby (39-83),Atlanta Braves
90,1927,Boston Braves,NL,155,60,94,1,0.39,0.423,7th of 8,34.0,,651,771,288685,29.8,29.0,36,15,B.Smith (3.5),D.Bancroft (60-94),Atlanta Braves
91,1926,Boston Braves,NL,153,66,86,1,0.434,0.436,7th of 8,22.0,,624,719,303598,28.6,28.4,31,12,D.Bancroft (4.1),D.Bancroft (66-86),Atlanta Braves
92,1925,Boston Braves,NL,153,70,83,0,0.458,0.443,5th of 8,25.0,,708,802,313528,28.0,27.9,38,15,D.Bancroft (5.1),D.Bancroft (70-83),Atlanta Braves
93,1924,Boston Braves,NL,154,53,100,1,0.346,0.314,8th of 8,40.0,,520,798,177478,29.1,26.6,39,15,J.Barnes (5.2),D.Bancroft (53-100),Atlanta Braves
94,1923,Boston Braves,NL,155,54,100,1,0.351,0.398,7th of 8,41.5,,636,798,227802,29.4,29.1,33,12,J.Genewich (4.1),F.Mitchell (54-100),Atlanta Braves
95,1922,Boston Braves,NL,154,53,100,1,0.346,0.357,8th of 8,39.5,,596,822,167965,29.3,28.7,33,16,F.Miller (2.6),F.Mitchell (53-100),Atlanta Braves
96,1921,Boston Braves,NL,153,79,74,0,0.516,0.515,4th of 8,15.0,,721,697,318627,28.1,26.5,26,12,J.Oeschger (4.9),F.Mitchell (79-74),Atlanta Braves
97,1920,Boston Braves,NL,153,62,90,1,0.408,0.389,7th of 8,30.0,,523,670,162483,27.9,26.9,30,12,J.Oeschger (3.0),G.Stallings (62-90),Atlanta Braves
98,1919,Boston Braves,NL,140,57,82,1,0.41,0.413,6th of 8,38.5,,465,563,167401,28.6,28.0,39,13,D.Rudolph (4.8),G.Stallings (57-82),Atlanta Braves
99,1918,Boston Braves,NL,124,53,71,0,0.427,0.454,7th of 8,28.5,,424,469,84938,29.1,28.4,37,14,R.Smith (3.7),G.Stallings (53-71),Atlanta Braves
100,1917,Boston Braves,NL,157,72,81,4,0.471,0.487,6th of 8,25.5,,536,552,174253,27.8,27.5,34,11,R.Maranville (4.5),G.Stallings (72-81),Atlanta Braves
101,1916,Boston Braves,NL,158,89,63,6,0.586,0.581,3rd of 8,4.0,,542,453,313495,27.9,27.9,28,9,R.Maranville (5.2),G.Stallings (89-63),Atlanta Braves
102,1915,Boston Braves,NL,157,83,69,5,0.546,0.53,2nd of 8,7.0,,582,545,376283,27.5,27.2,34,13,S.Magee (4.8),G.Stallings (83-69),Atlanta Braves
103,1914,Boston Braves,NL,158,94,59,5,0.614,0.582,1st of 8,,Won WS (4-0),657,548,382913,25.7,25.2,34,12,B.James (8.7),G.Stallings (94-59),Atlanta Braves
104,1913,Boston Braves,NL,154,69,82,3,0.457,0.466,5th of 8,31.5,,641,690,208000,26.2,27.7,46,13,D.Rudolph (4.7),G.Stallings (69-82),Atlanta Braves
105,1912,Boston Braves,NL,155,52,101,2,0.34,0.397,8th of 8,52.0,,693,871,121000,27.4,29.3,37,14,B.Sweeney (5.3),J.Kling (52-101),Atlanta Braves
106,1911,Boston Rustlers,NL,156,44,107,5,0.291,0.333,8th of 8,54.0,,699,1021,116000,27.8,27.5,43,18,B.Herzog (2.5),F.Tenney (44-107),Atlanta Braves
107,1910,Boston Doves,NL,157,53,100,4,0.346,0.346,8th of 8,50.5,,495,701,149027,26.5,26.8,35,12,B.Brown (3.9),F.Lake (53-100),Atlanta Braves
108,1909,Boston Doves,NL,155,45,108,2,0.294,0.305,8th of 8,65.5,,435,683,195188,27.0,25.9,38,15,C.Curtis (3.5),F.Bowerman (22-54) and H.Smith (23-54),Atlanta Braves
109,1908,Boston Doves,NL,156,63,91,2,0.409,0.433,6th of 8,36.0,,537,622,253750,30.8,28.3,30,13,B.Dahlen (5.2),J.Kelley (63-91),Atlanta Braves
110,1907,Boston Doves,NL,152,58,90,4,0.392,0.383,7th of 8,47.0,,502,652,203221,28.4,28.2,29,10,D.Brain (4.9),F.Tenney (58-90),Atlanta Braves
111,1906,Boston Beaneaters,NL,152,49,102,1,0.325,0.3,8th of 8,66.5,,408,649,143280,27.5,26.9,24,9,V.Lindaman (3.3),F.Tenney (49-102),Atlanta Braves
112,1905,Boston Beaneaters,NL,156,51,103,2,0.331,0.306,7th of 8,54.5,,468,733,150003,28.5,28.7,23,10,I.Young (8.0),F.Tenney (51-103),Atlanta Braves
113,1904,Boston Beaneaters,NL,155,55,98,2,0.359,0.316,7th of 8,51.0,,491,749,140694,27.6,27.6,24,8,T.Pittinger (3.8),A.Buckenberger (55-98),Atlanta Braves
114,1903,Boston Beaneaters,NL,140,58,80,2,0.42,0.414,6th of 8,32.0,,578,699,143155,27.6,29.1,17,7,V.Willis (5.9),A.Buckenberger (58-80),Atlanta Braves
115,1902,Boston Beaneaters,NL,142,73,64,5,0.533,0.547,3rd of 8,29.0,,572,516,116960,28.7,27.0,21,10,V.Willis (8.1),A.Buckenberger (73-64),Atlanta Braves
116,1901,Boston Beaneaters,NL,140,69,69,2,0.5,0.479,5th of 8,20.5,,531,556,146502,29.6,27.4,25,5,V.Willis (8.7),F.Selee (69-69),Atlanta Braves
117,1900,Boston Beaneaters,NL,142,66,72,4,0.478,0.524,4th of 8,17.0,,778,739,202000,29.7,26.5,21,8,B.Dinneen (6.8),F.Selee (66-72),Atlanta Braves
118,1899,Boston Beaneaters,NL,153,95,57,1,0.625,0.628,2nd of 12,8.0,,858,645,200384,29.4,26.3,27,12,V.Willis (10.1),F.Selee (95-57),Atlanta Braves
119,1898,Boston Beaneaters,NL,152,102,47,3,0.685,0.655,1st of 12,,,872,614,229275,28.5,25.6,22,7,K.Nichols (11.1),F.Selee (102-47),Atlanta Braves
120,1897,Boston Beaneaters,NL,135,93,39,3,0.705,0.688,1st of 12,,,1025,665,334800,28.1,26.4,20,7,K.Nichols (11.2),F.Selee (93-39),Atlanta Braves
121,1896,Boston Beaneaters,NL,132,74,57,1,0.565,0.558,4th of 12,17.0,,865,761,240000,28.1,26.8,22,8,K.Nichols (6.8),F.Selee (74-57),Atlanta Braves
